,address,roadName,latitude,longitude
0,Anglo-Chinese School (Junior),WINSTEDT ROAD,1.309321297,103.8406435
1,Anglo-Chinese School (Primary),BARKER ROAD,1.318718599,103.8353452
2,Canossa Catholic Primary School,SALLIM ROAD,1.32651106,103.8817569
3,CHIJ (Katong) Primary,MARTIA ROAD,1.3065268620000001,103.9109216
4,CHIJ (Kellock),BUKIT TERESA ROAD,1.2748446000000002,103.8280696
5,CHIJ Our Lady of Good Counsel,BURGHLEY DRIVE,1.357951427,103.8642502
6,CHIJ Our Lady of the Nativity,UPPER SERANGOON ROAD,1.373174017,103.89765940000001
7,CHIJ Our Lady Queen of Peace,CHESTNUT DRIVE,1.366758014,103.7676948
8,CHIJ Primary (Toa Payoh),LORONG 1 TOA PAYOH,1.332818153,103.8419184
9,Chongfu School,YISHUN AVENUE 6,1.438462312,103.83907070000001
10,De La Salle School,CHOA CHU KANG STREET 52,1.395071916,103.74344359999999
11,Fairfield Methodist School (Primary),DOVER ROAD,1.300798691,103.7856922
12,Geylang Methodist School (Primary),GEYLANG EAST CENTRAL,1.31759275,103.883893
13,Kheng Cheng School,LORONG 3 TOA PAYOH,1.337407636,103.84776109999999
14,Kuo Chuan Presbyterian Primary School,BISHAN STREET 13,1.349783074,103.8545292
15,Marymount Convent School,MARYMOUNT ROAD,1.340427023,103.839899
16,Mee Toh School,EDGEDALE PLAINS,1.394853563,103.90857259999999
17,Methodist Girls' School (Primary),LORONG AH SOO,1.349841864,103.88497840000001
18,Montfort Junior School,HOUGANG AVENUE 8,1.373937639,103.8896908
19,Nan Chiau Primary School,ANCHORVALE LINK,1.392064685,103.890925
20,Ngee Ann Primary School,MARINE TERRACE,1.305540153,103.9177554
21,Paya Lebar Methodist Girls' School (Primary),LORONG AH SOO,1.349841864,103.88497840000001
22,Singapore Chinese Girls' Primary School,DUNEARN ROAD,1.321252314,103.82770909999999
23,St Andrew's Junior School,FRANCIS THOMAS DRIVE,1.331389131,103.86512890000002
24,St Anthony's Canossian Primary School,BEDOK NORTH AVENUE 4,1.334806855,103.9412089
25,St Anthony's Primary School,BUKIT BATOK STREET 32,1.364639125,103.74929399999999
26,St Gabriel's Primary School,LORONG CHUAN,1.349246034,103.862332
27,St Hilda's Primary School,TAMPINES AVENUE 3,1.349349944,103.93792049999999
28,St Joseph's Institution Junior,ESSEX ROAD,1.317702253,103.84567009999999
29,St Margaret's Primary School,SOPHIA ROAD,1.303788457,103.84625109999999
30,St Stephen's School,SIGLAP VIEW,1.318816206,103.91752609999999
