,address,roadName,latitude,longitude
0,Admiralty Primary School,WOODLANDS CIRCLE,1.4426796169999998,103.80011440000001
1,Ahmad Ibrahim Primary School,YISHUN STREET 11,1.4336812069999998,103.8329243
2,Alexandra Primary School,PRINCE CHARLES CRESCENT,1.291299035,103.82394079999999
3,Anchor Green Primary School,ANCHORVALE DRIVE,1.390662478,103.8872561
4,Anderson Primary School,ANG MO KIO AVENUE 9,1.384665965,103.84123840000001
5,Angsana Primary School,TAMPINES STREET 22,1.348571433,103.951673
6,Ang Mo Kio Primary School,ANG MO KIO AVENUE 3,1.369092065,103.83904140000001
7,Beacon Primary School,BUKIT PANJANG RING ROAD,1.3842366769999999,103.77375440000002
8,Bedok Green Primary School,BEDOK SOUTH AVENUE 2,1.323996276,103.93774499999999
9,Bendemeer Primary School,BENDEMEER ROAD,1.322208475,103.86535129999999
10,Blangah Rise Primary School,TELOK BLANGAH HEIGHTS,1.276130304,103.8086392
11,Boon Lay Garden Primary School,BOON LAY DRIVE,1.3428467080000002,103.712969
12,Bukit Panjang Primary School,CASHEW ROAD,1.373472192,103.7693175
13,Bukit Timah Primary School,LORONG KISMIS,1.337749867,103.76685529999999
14,Bukit View Primary School,BUKIT BATOK STREET 21,1.3459452459999999,103.75358879999999
15,Canberra Primary School,ADMIRALTY DRIVE,1.4510640069999998,103.8159709
16,Cantonment Primary School,CANTONMENT CLOSE,1.275505441,103.8399227
17,Casuarina Primary School,PASIR RIS STREET 41,1.372789016,103.9572913
18,Cedar Primary School,CEDAR AVENUE,1.3356412229999999,103.8754913
19,Changkat Primary School,SIMEI STREET 3,1.340208008,103.95218340000001
20,Chongzheng Primary School,TAMPINES STREET 21,1.350594769,103.9512252
21,Chua Chu Kang Primary School,CHOA CHU KANG AVENUE 2,1.377743283,103.7418605
22,Clementi Primary School,CLEMENTI AVENUE 3,1.315808563,103.76305479999999
23,Compassvale Primary School,COMPASSVALE STREET,1.3945298309999998,103.8978648
24,Concord Primary School,CHOA CHU KANG AVENUE 4,1.380411513,103.7361428
25,Corporation Primary School,JURONG WEST STREET 24,1.35148549,103.70757840000002
26,Damai Primary School,BEDOK RESERVOIR CRESCENT,1.335351315,103.9212683
27,Dazhong Primary School,BUKIT BATOK STREET 31,1.3590589919999998,103.7481615
28,East Spring Primary School,TAMPINES STREET 33,1.353041046,103.96179709999998
29,Edgefield Primary School,EDGEFIELD PLAINS,1.400297835,103.9074305
30,Elias Park Primary School,PASIR RIS STREET 52,1.375033032,103.9453578
31,Endeavour Primary School,ADMIRALTY LINK,1.45417629,103.81742729999999
32,Eunos Primary School,JALAN EUNOS,1.324388358,103.9043748
33,Evergreen Primary School,WOODLANDS CIRCLE,1.4441483590000002,103.7945453
34,Farrer Park Primary School,FARRER PARK ROAD,1.312504162,103.8509027
35,Fengshan Primary School,BEDOK NORTH ROAD,1.330324955,103.9318854
36,Fernvale Primary School,FERNVALE LANE,1.389979408,103.874101
37,First Toa Payoh Primary School,LORONG 8 TOA PAYOH,1.340526165,103.85566750000001
38,Frontier Primary School,JURONG WEST STREET 61,1.3366431220000001,103.6996828
39,Fuchun Primary School,WOODLANDS AVENUE 1,1.430639768,103.77817519999999
40,Fuhua Primary School,JURONG EAST STREET 13,1.336403763,103.73666949999999
41,Gan Eng Seng Primary School,REDHILL CLOSE,1.285955393,103.8152282
42,Gongshang Primary School,TAMPINES STREET 42,1.357348982,103.9488719
43,Greendale Primary School,EDGEDALE PLAINS,1.396402656,103.912566
44,Greenridge Primary School,JELAPANG ROAD,1.3858737540000001,103.7678146
45,Greenwood Primary School,WOODLANDS DRIVE 62,1.4401104980000001,103.80462929999999
46,Guangyang Primary School,BISHAN STREET 12,1.346042665,103.8492848
47,Haig Girls' School,KOON SENG ROAD,1.3117720590000002,103.90265550000001
48,Henry Park Primary School,HOLLAND GROVE ROAD,1.316725811,103.7842083
49,Horizon Primary School,EDGEDALE PLAINS,1.400008815,103.9130715
50,Hougang Primary School,HOUGANG STREET 93,1.378039861,103.8811662
51,Huamin Primary School,YISHUN AVENUE 11,1.4269977459999998,103.84420970000001
52,Innova Primary School,WOODLANDS DRIVE 17,1.429184592,103.7905571
53,Jiemin Primary School,YISHUN STREET 71,1.4276468519999999,103.8304804
54,Jing Shan Primary School,ANG MO KIO STREET 52,1.3718926759999999,103.85181109999999
55,Junyuan Primary School,TAMPINES STREET 91,1.347891544,103.9396469
56,Jurong Primary School,JURONG EAST STREET 32,1.348684512,103.73297480000001
57,Jurong West Primary School,JURONG WEST STREET 61,1.3392437529999999,103.6988958
58,Juying Primary School,JURONG WEST STREET 91,1.338951451,103.68783309999999
59,Keming Primary School,BUKIT BATOK EAST AVENUE 6,1.3452450530000002,103.7562645
60,Kranji Primary School,CHOA CHU KANG STREET 54,1.3939100309999999,103.74741540000001
61,Lakeside Primary School,CORPORATION WALK,1.3383757029999999,103.7180505
62,Lianhua Primary School,BUKIT BATOK STREET 52,1.3541550690000002,103.7542104
63,Marsiling Primary School,WOODLANDS CENTRE ROAD,1.434423117,103.77369770000001
64,Mayflower Primary School,ANG MO KIO AVENUE 5,1.376398733,103.8431658
65,Meridian Primary School,PASIR RIS STREET 71,1.3759708309999998,103.9351432
66,Naval Base Primary School,YISHUN AVENUE 4,1.4162801530000002,103.8387977
67,New Town Primary School,TANGLIN HALT ROAD,1.299811388,103.7999648
68,Northland Primary School,YISHUN AVENUE 4,1.421304044,103.8407929
69,Northoaks Primary School,SEMBAWANG DRIVE,1.456666873,103.81361
70,North Spring Primary School,RIVERVALE STREET,1.3875282359999999,103.903513
71,North View Primary School,YISHUN AVENUE 6,1.4279434030000002,103.84836829999999
72,North Vista Primary School,COMPASSVALE LINK,1.382893394,103.8958542
73,Oasis Primary School,EDGEFIELD PLAINS,1.40440927,103.9109964
74,Opera Estate Primary School,FIDELIO STREET,1.319968755,103.9237527
75,Palm View Primary School,COMPASSVALE BOW,1.3838407640000001,103.8912151
76,Park View Primary School,PASIR RIS DRIVE 1,1.377770261,103.9396887
77,Pasir Ris Primary School,PASIR RIS STREET 21,1.372308619,103.9629189
78,Pei Tong Primary School,CLEMENTI AVENUE 5,1.316148017,103.76757629999999
79,Peiying Primary School,YISHUN RING ROAD,1.417408192,103.8302995
80,Pioneer Primary School,JURONG WEST STREET 81,1.3487209269999998,103.6948679
81,Princess Elizabeth Primary School,BUKIT BATOK WEST AVENUE 3,1.349194518,103.7409996
82,Punggol Cove Primary School,SUMANG WALK,1.411563565,103.8989704
83,Punggol Green Primary School,PUNGGOL WALK,1.4018048730000001,103.89877290000001
84,Punggol Primary School,HOUGANG AVENUE 8,1.3782006230000001,103.89475329999999
85,Punggol View Primary School,PUNGGOL PLACE,1.4053333140000002,103.9053865
86,Qifa Primary School,WEST COAST AVENUE,1.312621542,103.75703
87,Qihua Primary School,WOODLANDS STREET 81,1.442035966,103.78833979999999
88,Queenstown Primary School,MARGARET DRIVE,1.295988446,103.8079019
89,Radin Mas Primary School,BUKIT PURMEI AVENUE,1.274961612,103.82418
90,Raffles Girls' Primary School,HILLCREST ROAD,1.3300739190000002,103.8062213
91,Riverside Primary School,WOODLANDS CRESCENT,1.44710495,103.80192120000001
92,River Valley Primary School,RIVER VALLEY GREEN,1.294183475,103.8360189
93,Rivervale Primary School,RIVERVALE DRIVE,1.393573805,103.9047183
94,Rosyth School,SERANGOON NORTH AVENUE 4,1.372915796,103.87469320000001
95,Rulang Primary School,JURONG WEST STREET 52,1.346844456,103.7190098
96,Sembawang Primary School,SEMBAWANG DRIVE,1.445043645,103.8210215
97,Sengkang Green Primary School,FERNVALE ROAD,1.3928392509999998,103.8751588
98,Seng Kang Primary School,COMPASSVALE WALK,1.389250457,103.89952790000001
99,Shuqun Primary School,JURONG WEST STREET 51,1.34756849,103.721558
100,Si Ling Primary School,WOODLANDS AVENUE 1,1.4326998659999999,103.78577879999999
101,South View Primary School,CHOA CHU KANG CENTRAL,1.381766725,103.74728979999999
102,Springdale Primary School,ANCHORVALE LINK,1.394958184,103.88989649999999
103,Stamford Primary School,VICTORIA LANE,1.3040910829999999,103.857393
104,Tampines North Primary School,TAMPINES AVENUE 9,1.36069172,103.9489368
105,Tampines Primary School,TAMPINES STREET 12,1.3504863980000001,103.9435731
106,Tanjong Katong Primary School,SERAYA ROAD,1.305307371,103.9005317
107,Teck Ghee Primary School,ANG MO KIO STREET 32,1.365200631,103.8510322
108,Teck Whye Primary School,TECK WHYE WALK,1.383558303,103.75368279999999
