,address,roadName,latitude,longitude
0,Jurong East MRT Station,NIL,1.33400861,103.74173509999999
1,Bukit Batok MRT Station,NIL,1.349360664,103.7499662
2,Bukit Gombak MRT Station,NIL,1.35869439,103.752085
3,Choa Chu Kang MRT Station,NIL,1.3849696919999999,103.74459190000002
4,Yew Tee MRT Station,CHOA CHU KANG DRIVE,1.3975350180000001,103.7474051
5,Kranji MRT Station,NIL,1.4251259490000001,103.7617547
6,Marsiling MRT Station,NIL,1.432807925,103.77420670000001
7,Woodlands MRT Station,NIL,1.437094408,103.78722490000001
8,Admiralty MRT Station,NIL,1.4401624819999999,103.8005272
9,Sembawang MRT Station,NIL,1.448835628,103.8201103
10,Canberra MRT Station,CANBERRA LINK,1.443076641,103.82970259999999
11,Yishun MRT Station,NIL,1.429104039,103.83486579999999
12,Khatib MRT Station,NIL,1.4170363730000002,103.8329527
13,Yio Chu Kang MRT Station,NIL,1.381650385,103.844821
14,Ang Mo Kio MRT Station,ANG MO KIO AVENUE 8,1.369428557,103.84945520000001
15,Bishan MRT Station,BISHAN PLACE,1.3510188980000002,103.85005720000001
16,Braddell MRT Station,LORONG 1 TOA PAYOH,1.3401052070000001,103.8467559
17,Toa Payoh MRT Station,NIL,1.332376442,103.8477238
18,Novena MRT Station,NIL,1.321103004,103.84440579999999
19,Newton MRT Station,SCOTTS ROAD,1.312570317,103.8380316
20,Orchard MRT Station,NIL,1.3041533790000002,103.83277029999999
21,Somerset MRT Station,SOMERSET ROAD,1.3002528770000001,103.8391583
22,Dhoby Ghaut MRT Station,ORCHARD ROAD,1.298810409,103.84634759999999
23,City Hall MRT Station,NORTH BRIDGE ROAD,1.292989907,103.85254259999999
24,Raffles Place MRT Station,RAFFLES PLACE,1.2839332620000001,103.85146309999999
25,Marina Bay MRT Station,PARK STREET,1.2763111440000001,103.854605
26,Marina South Pier MRT Station,NIL,1.270675235,103.86228059999999
27,Pasir Ris MRT Station,NIL,1.372886237,103.94913690000001
28,Tampines MRT Station,NIL,1.3537640130000002,103.9447663
29,Simei MRT Station,NIL,1.342655786,103.95382009999999
30,Tanah Merah MRT Station,NIL,1.3268651000000002,103.9457914
31,Bedok MRT Station,NIL,1.32039876,103.95724200000001
32,Kembangan MRT Station,NIL,1.320929673,103.91294
33,Eunos MRT Station,NIL,1.319517275,103.9028941
34,Paya Lebar MRT Station,NIL,1.318370313,103.8922082
35,Aljunied MRT Station,NIL,1.316238485,103.8824967
36,Kallang MRT Station,NIL,1.31178177,103.8715871
37,Lavender MRT Station,KALLANG ROAD,1.307391879,103.86278459999998
38,Bugis MRT Station,VICTORIA STREET,1.300366506,103.8556367
39,Tanjong Pagar MRT Station,NIL,1.2762671209999998,103.8471021
40,Outram Park MRT Station,EU TONG SEN STREET,1.2802415329999999,103.8400521
41,Tiong Bahru MRT Station,TIONG BAHRU ROAD,1.286194579,103.8269989
42,Redhill MRT Station,NIL,1.289367485,103.8169976
43,Queenstown MRT Station,NIL,1.294250313,103.8061795
44,Commonwealth MRT Station,NIL,1.302757264,103.7980551
45,Buona Vista MRT Station,NORTH BUONA VISTA ROAD,1.306275348,103.7903632
