,address,roadName,latitude,longitude
0,Ai Tong School,BRIGHT HILL DRIVE,1.360736365,103.8330757
1,Catholic High School (Primary),BISHAN STREET 22,1.354388784,103.8442107
2,CHIJ St Nicholas Girls' School,ANG MO KIO STREET 13,1.3737296730000002,103.83430890000001
3,Holy Innocents' Primary School,LORONG LOW KOON,1.366737841,103.89368409999999
4,Hong Wen School,TOWNER ROAD,1.321689285,103.8576518
5,Kong Hwa School,GUILLEMARD ROAD,1.311114219,103.88820940000001
6,Maha Bodhi School,UBI AVENUE 1,1.328470866,103.90129870000001
7,Maris Stella High School,BARTLEY ROAD,1.3421839569999998,103.8780964
8,Nan Hua Primary School,JALAN LEMPENG,1.319836638,103.761404
9,Nanyang Primary School,CORONATION ROAD,1.32111549,103.8064681
10,Pei Chun Public School,LORONG 7 TOA PAYOH,1.337288933,103.8554735
11,Pei Hwa Presbyterian Primary School,PEI WAH AVENUE,1.338055078,103.77610820000001
12,Poi Ching School,TAMPINES STREET 71,1.358087001,103.93535250000001
13,Red Swastika School,BEDOK NORTH AVENUE 3,1.33349383,103.93437490000001
14,Tao Nan School,MARINE CRESCENT,1.3046315290000001,103.9112042
