,govt_aided_schools
0,Anglo-Chinese School (Junior)
1,Anglo-Chinese School (Primary)
2,Canossa Catholic Primary School
3,CHIJ (Katong) Primary
4,CHIJ (Kellock)
5,CHIJ Our Lady of Good Counsel
6,CHIJ Our Lady of the Nativity
7,CHIJ Our Lady Queen of Peace
8,CHIJ Primary (Toa Payoh)
9,Chongfu School
10,De La Salle School
11,Fairfield Methodist School (Primary)
12,Geylang Methodist School (Primary)
13,Kheng Cheng School
14,Kuo Chuan Presbyterian Primary School
15,Marymount Convent School
16,Mee Toh School
17,Methodist Girls' School (Primary)
18,Montfort Junior School
19,Nan Chiau Primary School
20,Ngee Ann Primary School
21,Paya Lebar Methodist Girls' School (Primary)
22,Singapore Chinese Girls' Primary School
23,St Andrew's Junior School
24,St Anthony's Canossian Primary School
25,St Anthony's Primary School
26,St Gabriel's Primary School
27,St Hilda's Primary School
28,St Joseph's Institution Junior
29,St Margaret's Primary School
30,St Stephen's School
