,malls
0,100 AM
1,313@Somerset
2,Aperia
3,Balestier Hill Shopping Centre
4,Bugis Cube
5,Bugis Junction
6,Bugis+
7,Capitol Piazza
8,Cathay Cineleisure Orchard
9,City Gate
10,City Square Mall
11,CityLink Mall
12,Clarke Quay Central
13,Duo
14,Far East Plaza
15,Funan
16,Great World City
17,HDB Hub
18,Holland Village Shopping Mall
19,ION Orchard
20,Junction 8
21,Knightsbridge[1]
22,Liang Court
23,Liat Towers
24,Lucky Plaza
25,Marina Bay Financial Centre Tower 3
26,Marina Bay Link Mall
27,Marina Bay Sands
28,Marina One
29,Marina Square
30,Midpoint Orchard
31,Millenia Walk
32,Mustafa Shopping Centre
33,Ngee Ann City
34,Orchard Central
35,Orchard Gateway
36,Orchard Plaza
37,Orchard Shopping Centre
38,Palais Renaissance
39,Peoples Park Centre
40,Peoples Park Complex
41,Plaza Singapura
42,PoMo
43,Raffles City
44,Scotts Square
45,Serangoon Plaza
46,Shaw House and Centre
47,Sim Lim Square
48,Singapore Shopping Centre
49,Square 2
50,Suntec City
51,Tanglin Mall
52,Tangs
53,Tanjong Pagar Centre
54,Tekka Centre
55,The Centrepoint
56,The Paragon
57,The Poiz [2]
58,The Shoppes at Marina Bay Sands
59,The South Beach
60,Thomson Plaza
61,"United Square, The Kids Learning Mall"
62,Velocity
63,Wheelock Place
64,Wisma Atria
65,Zhongshan Mall
66,112 Katong
67,Bedok Mall
68,Bedok Point
69,Century Square
70,Changi Airport
71,Changi City Point
72,City Plaza
73,Djitsun Mall Bedok
74,Downtown East
75,East Village
76,Eastpoint Mall
77,Elias Mall
78,Kallang Wave Mall
79,Katong Square
80,Katong V
81,KINEX (formerly One KM Mall)
82,Leisure Park Kallang
83,Loyang Point
84,Our Tampines Hub
85,Parkway Parade
86,Paya Lebar Square
87,PLQ Mall
88,Singapore Post Centre
89,Tampines 1
90,Tampines Mall
91,The Flow
92,White Sands
93,888 Plaza
94,Admiralty Place
95,AMK Hub
96,Beauty World Centre
97,Beauty World Plaza
98,Broadway Plaza
99,Buangkok Square
100,Bukit Panjang Plaza
101,Bukit Timah Plaza
102,Causeway Point
103,Compass One
104,Djitsun Mall
105,Fajar Shopping Centre
106,Greenridge Shopping Centre
107,Greenwich V
108,Heartland Mall
109,Hillion Mall
110,HillV2
111,Hougang 1
112,Hougang Green Shopping Mall
113,Hougang Mall
114,Jubilee Square
115,Junction 10
116,Junction 9
117,Keat Hong Shopping Centre
118,KKH The Retail Mall
119,Limbang Shopping Centre
120,Lot One
121,Marsiling Mall
122,myVillage @ Serangoon
123,NEX
124,North East
125,North West
126,Northpoint City
127,Oasis Terraces
128,Punggol Plaza
129,Rail Mall
130,Rivervale Mall
131,Rivervale Plaza
132,Sembawang Shopping Centre
133,Sun Plaza
134,Sunshine Place
135,Teck Whye Shopping Centre
136,The Midtown
137,The Seletar Mall
138,Upper Serangoon Shopping Centre
139,Waterway Point
140,West Mall
141,Wisteria Mall
142,Woodlands Mart
143,Yew Tee Point
144,Yew Tee Shopping Centre
145,Yew Tee Square
146,Alexandra Retail Centre
147,HarbourFront Centre
148,VivoCity
149,321 Clementi
150,Alexandra Central
151,Anchorpoint
152,Big Box
153,Boon Lay Shopping Centre
154,Fairprice Hub
155,Gek Poh Shopping Centre
156,Grantral Mall
157,IMM
158,JCube
159,Jem
160,Jurong Point
161,OD Mall
162,Pioneer Mall
163,Queensway Shopping Centre
164,Rochester Mall
165,Taman Jurong Shopping Centre
166,The Clementi Mall
167,The Star Vista
168,Tiong Bahru Plaza
169,West Coast Plaza
170,Westgate Mall
